# Nmap 7.99 scan initiated Wed Sep  2 14:07:00 2026 as: sudo nmap -sU --top-ports 20 192.168.1.3
Nmap scan report for 192.168.1.3
Host is up (0.0032s latency).
PORT      STATE         SERVICE
53/udp    open          domain
67/udp    closed        dhcps
68/udp    open|filtered dhcpc
69/udp    open|filtered tftp
123/udp   open|filtered ntp
135/udp   closed        msrpc
137/udp   open          netbios-ns
138/udp   open|filtered netbios-dgm
139/udp   open|filtered netbios-ssn
161/udp   closed        snmp
162/udp   closed        snmptrap
445/udp   open|filtered microsoft-ds
500/udp   closed        isakmp
514/udp   closed        syslog
520/udp   open|filtered route
631/udp   closed        ipp
1434/udp  closed        ms-sql-m
1900/udp  closed        upnp
4500/udp  closed        nat-t-ike
49152/udp closed        unknown
MAC Address: 08:00:27:E4:EF:5F (Oracle VirtualBox virtual NIC)

# Nmap done at Wed Sep  2 14:07:07 2026 -- 1 IP address (1 host up) scanned in 7.66 seconds
